seg,rgn,greenland,island,segID,rgnID
Japan11415,JPN,0,0,11415,69
Japan11416,JPN,0,0,11416,69
Japan11417,JPN,0,0,11417,69
Japan11418,JPN,0,0,11418,69
Japan11419,JPN,0,0,11419,69
Japan11420,JPN,0,0,11420,69
Japan11421,JPN,0,0,11421,69
Japan11361,JPN,0,0,11361,69
Japan11362,JPN,0,0,11362,69
Japan11364,JPN,0,0,11364,69
Japan11391,JPN,0,0,11391,69
Japan11365,JPN,0,0,11365,69
Japan11380,JPN,0,0,11380,69
Japan11381,JPN,0,0,11381,69
Japan11384,JPN,0,0,11384,69
Japan11427,JPN,0,0,11427,69
Japan11385,JPN,0,0,11385,69
Japan11386,JPN,0,0,11386,69
Japan11387,JPN,0,0,11387,69
Japan11388,JPN,0,0,11388,69
Japan11392,JPN,0,0,11392,69
Japan11334,JPN,0,0,11334,69
Japan11335,JPN,0,0,11335,69
Japan11336,JPN,0,0,11336,69
Japan11425,JPN,0,0,11425,69
Japan3286,JPN,0,0,3286,69
Japan11126,JPN,0,0,11126,69
Japan11164,JPN,0,0,11164,69
Japan11166,JPN,0,0,11166,69
Japan11170,JPN,0,0,11170,69
Japan11174,JPN,0,0,11174,69
Japan11180,JPN,0,0,11180,69
Japan11186,JPN,0,0,11186,69
Japan11187,JPN,0,0,11187,69
Japan11188,JPN,0,0,11188,69
Japan11189,JPN,0,0,11189,69
Japan11194,JPN,0,0,11194,69
Japan11195,JPN,0,0,11195,69
Japan11196,JPN,0,0,11196,69
Japan11210,JPN,0,0,11210,69
Japan11212,JPN,0,0,11212,69
Japan11213,JPN,0,0,11213,69
Japan11214,JPN,0,0,11214,69
Japan11242,JPN,0,0,11242,69
Japan11227,JPN,0,0,11227,69
Japan11229,JPN,0,0,11229,69
Japan11239,JPN,0,0,11239,69
Japan11240,JPN,0,0,11240,69
Japan11241,JPN,0,0,11241,69
Japan11243,JPN,0,0,11243,69
Japan11244,JPN,0,0,11244,69
Japan11249,JPN,0,0,11249,69
Japan11185,JPN,0,0,11185,69
Japan11208,JPN,0,0,11208,69
Japan11211,JPN,0,0,11211,69
Japan11224,JPN,0,0,11224,69
Japan11225,JPN,0,0,11225,69
Japan11226,JPN,0,0,11226,69
Japan11280,JPN,0,0,11280,69
Japan11283,JPN,0,0,11283,69
Japan11284,JPN,0,0,11284,69
Japan11333,JPN,0,0,11333,69
Japan11273,JPN,0,0,11273,69
Japan11277,JPN,0,0,11277,69
Mexico5397,MEX,0,0,5397,85
Portugal8226,PRT,0,0,8226,108
Portugal8240,PRT,0,0,8240,108
Portugal8241,PRT,0,0,8241,108
Portugal8242,PRT,0,0,8242,108
Portugal8245,PRT,0,0,8245,108
Portugal8247,PRT,0,0,8247,108
Portugal8273,PRT,0,0,8273,108
Portugal8274,PRT,0,0,8274,108
Portugal8275,PRT,0,0,8275,108
Portugal8276,PRT,0,0,8276,108
Portugal8277,PRT,0,0,8277,108
Portugal8278,PRT,0,0,8278,108
Portugal8279,PRT,0,0,8279,108
Portugal8321,PRT,0,0,8321,108
Portugal8322,PRT,0,0,8322,108
Portugal8323,PRT,0,0,8323,108
Portugal8324,PRT,0,0,8324,108
Portugal8325,PRT,0,0,8325,108
Portugal8326,PRT,0,0,8326,108
Portugal8346,PRT,0,0,8346,108
Portugal8429,PRT,0,0,8429,108
Portugal8430,PRT,0,0,8430,108
Portugal8431,PRT,0,0,8431,108
Portugal8432,PRT,0,0,8432,108
Portugal8433,PRT,0,0,8433,108
RussianFederation2571,RUS,0,0,2571,113
RussianFederation2572,RUS,0,0,2572,113
RussianFederation2573,RUS,0,0,2573,113
RussianFederation2574,RUS,0,0,2574,113
RussianFederation2575,RUS,0,0,2575,113
RussianFederation2576,RUS,0,0,2576,113
RussianFederation2568,RUS,0,0,2568,113
RussianFederation2569,RUS,0,0,2569,113
RussianFederation2570,RUS,0,0,2570,113
RussianFederation2561,RUS,0,0,2561,113
RussianFederation2563,RUS,0,0,2563,113
RussianFederation2564,RUS,0,0,2564,113
RussianFederation2556,RUS,0,0,2556,113
RussianFederation2557,RUS,0,0,2557,113
RussianFederation2558,RUS,0,0,2558,113
RussianFederation2559,RUS,0,0,2559,113
RussianFederation2560,RUS,0,0,2560,113
RussianFederation2562,RUS,0,0,2562,113
RussianFederation11823,RUS,0,0,11823,113
RussianFederation2738,RUS,0,0,2738,113
RussianFederation2739,RUS,0,0,2739,113
RussianFederation2745,RUS,0,0,2745,113
