seg,rgn,greenland,island,segID,rgnID
UnitedStates4148,USA,0,0,4148,138
UnitedStates4149,USA,0,0,4149,138
UnitedStates4150,USA,0,0,4150,138
UnitedStates4151,USA,0,0,4151,138
UnitedStates4152,USA,0,0,4152,138
UnitedStates4153,USA,0,0,4153,138
UnitedStates4154,USA,0,0,4154,138
UnitedStates4155,USA,0,0,4155,138
UnitedStates4156,USA,0,0,4156,138
UnitedStates4157,USA,0,0,4157,138
UnitedStates4158,USA,0,0,4158,138
UnitedStates4159,USA,0,0,4159,138
UnitedStates4160,USA,0,0,4160,138
UnitedStates4161,USA,0,0,4161,138
UnitedStates4162,USA,0,0,4162,138
UnitedStates4163,USA,0,0,4163,138
UnitedStates4164,USA,0,0,4164,138
UnitedStates4165,USA,0,0,4165,138
UnitedStates4166,USA,0,0,4166,138
UnitedStates4167,USA,0,0,4167,138
UnitedStates4168,USA,0,0,4168,138
UnitedStates4169,USA,0,0,4169,138
UnitedStates4170,USA,0,0,4170,138
UnitedStates4109,USA,0,0,4109,138
UnitedStates4123,USA,0,0,4123,138
UnitedStates4124,USA,0,0,4124,138
