"fund_region"
"USA"
"CAN"
"WEU"
"JPK"
"ANZ"
"EEU"
"FSU"
"MDE"
"CAM"
"LAM"
"SAS"
"SEA"
"CHI"
"MAF"
"SSA"
"SIS"
