CountryISO
ABW
AGO
ALB
ARE
ARG
AUS
BEL
BEN
BGD
BGR
BHR
BHS
BIH
BLZ
BRA
BRB
BRN
CAN
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CPV
CRI
CUB
CYP
DEU
DJI
DNK
DOM
DZA
ECU
EGY
ERI
ESP
EST
FIN
FJI
FRA
GAB
GBR
GEO
GHA
GIN
GMB
GNB
GNQ
GRC
GTM
GUY
HKG
HND
HRV
HTI
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KEN
KHM
KOR
KWT
LBN
LBR
LBY
LCA
LKA
LTU
LVA
MAC
MAR
MDG
MDV
MEX
MLT
MMR
MNE
MOZ
MRT
MUS
MYS
NAM
NCL
NGA
NIC
NLD
NOR
NZL
OMN
PAK
PAN
PER
PHL
PNG
POL
PRI
PRT
PSE
PYF
QAT
ROU
RUS
SAU
SDN
SEN
SGP
SLB
SLE
SLV
SOM
STP
SUR
SVN
SWE
SYR
TGO
THA
TLS
TON
TTO
TUN
TUR
TWN
TZA
UKR
URY
USA
VCT
VEN
VNM
VUT
WSM
YEM
ZAF
