"SSP","fund_region","pop","gdp"
"SSP1","USA",252.120309,8034.909993
"SSP1","CAN",27.541319,768.3482813
"SSP1","WEU",376.804505,9030.707853052003
"SSP1","JPK",167.423659,3558.4355091999996
"SSP1","ANZ",20.358769,498.09231195
"SSP1","EEU",122.958457,1110.7188098729998
"SSP1","FSU",287.751316,3157.9529885099996
"SSP1","MDE",187.72391799999997,1475.5274374949997
"SSP1","CAM",116.78684699999998,1027.47637855
"SSP1","LAM",295.28043899999994,2218.029573814
"SSP1","SAS",1133.2720379999998,1448.123000833
"SSP1","SEA",469.558562,1337.027752048
"SSP1","CHI",1188.255891,1475.4750369529997
"SSP1","MAF",119.379963,542.33326471
"SSP1","SSA",502.890541,841.5823581780002
"SSP1","SIS",32.859185999999994,149.959839141
"SSP2","USA",252.120309,8025.41698
"SSP2","CAN",27.541319,767.4299171
"SSP2","WEU",376.804505,9016.964527345
"SSP2","JPK",167.423659,3552.0476911
"SSP2","ANZ",20.358769,497.60522669
"SSP2","EEU",122.958457,1109.904594656
"SSP2","FSU",287.751316,3164.6635257499997
"SSP2","MDE",187.72391799999997,1482.851359635
"SSP2","CAM",116.78684699999998,1033.161805041
"SSP2","LAM",295.28043899999994,2228.381854537
"SSP2","SAS",1133.2720379999998,1459.545193674
"SSP2","SEA",469.558562,1341.133169492
"SSP2","CHI",1188.255891,1478.5425357529998
"SSP2","MAF",119.379963,545.3558836
"SSP2","SSA",502.890541,847.8090977990001
"SSP2","SIS",32.859185999999994,149.69939880400003
"SSP3","USA",252.120309,7969.591885
"SSP3","CAN",27.541319,759.8131631
"SSP3","WEU",376.804505,8955.326320688
"SSP3","JPK",167.423659,3537.0312443
"SSP3","ANZ",20.358769,492.02775993
"SSP3","EEU",122.958457,1106.669338471
"SSP3","FSU",287.751316,3166.0434038699996
"SSP3","MDE",187.72391799999997,1481.2534522980002
"SSP3","CAM",116.78684699999998,1039.510265091
"SSP3","LAM",295.28043899999994,2239.937236487
"SSP3","SAS",1133.2720379999998,1468.605147538
"SSP3","SEA",469.558562,1343.984386373
"SSP3","CHI",1188.255891,1479.9096963789998
"SSP3","MAF",119.379963,548.33826348
"SSP3","SSA",502.890541,851.0097244540002
"SSP3","SIS",32.859185999999994,149.21199843200003
"SSP4","USA",252.120309,8007.023825
"SSP4","CAN",27.541319,765.4701732
"SSP4","WEU",376.804505,8996.272785812
"SSP4","JPK",167.423659,3545.3510913
"SSP4","ANZ",20.358769,496.34546554
"SSP4","EEU",122.958457,1107.748700294
"SSP4","FSU",287.751316,3155.3662836499993
"SSP4","MDE",187.72391799999997,1482.4492704680001
"SSP4","CAM",116.78684699999998,1028.751959224
"SSP4","LAM",295.28043899999994,2222.795255914
"SSP4","SAS",1133.2720379999998,1456.160356508
"SSP4","SEA",469.558562,1338.68513724
"SSP4","CHI",1188.255891,1474.4709948369998
"SSP4","MAF",119.379963,542.76028605
"SSP4","SSA",502.890541,850.8023670089999
"SSP4","SIS",32.859185999999994,148.34387950100003
"SSP5","USA",252.120309,8083.874098
"SSP5","CAN",27.541319,774.9327259
"SSP5","WEU",376.804505,9077.612673823
"SSP5","JPK",167.423659,3567.3071192
"SSP5","ANZ",20.358769,503.26101928
"SSP5","EEU",122.958457,1113.517590454
"SSP5","FSU",287.751316,3160.5172315199998
"SSP5","MDE",187.72391799999997,1484.1327650560002
"SSP5","CAM",116.78684699999998,1024.76211245
"SSP5","LAM",295.28043899999994,2216.473221109
"SSP5","SAS",1133.2720379999998,1447.297590953
"SSP5","SEA",469.558562,1337.5769439920002
"SSP5","CHI",1188.255891,1476.232963826
"SSP5","MAF",119.379963,541.74697194
"SSP5","SSA",502.890541,842.1232231770001
"SSP5","SIS",32.859185999999994,149.791812305
