Year,FossilCO2,OtherCO2,CH4,N2O,SOx,CO,NMVOC,NOx,BC,OC,NH3,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
2029,13.22445931,0.969202652,466.0431353,8.36189305,49.57980856,983.6744394,245.7057354,51.53144903,10.64158807,37.3185011,73.79530851,10.5697928,1.42349,0.317352297,0.71018,1.89139,0.764209024,206.566583,202.53524,74.11914,5.06197964,24.5976904,8.64136,24.02781,1.51101,0.12291,0.323277757,0.995279495,20.40522,0,161.23929,55.0865849,12.4726846,1.08373,0,0.79318,0.18927,131.14143,5373.63464
2030,13.45345137,0.959464809,471.3307935,8.458421476,49.61077851,985.3938279,246.670646,51.64177012,10.68755416,37.48274991,74.35698566,10.327405,1.3574,0.30262582,0.5274,1.4046,0.72205246,212.35886,199.0872,76.1049,5.0732303,25.231352,8.6672,22.7964,1.0122,0.0909,0.2594467,0.95192085,18.7952,0,143.31023,53.992384,11.628452,0.9614,0,0.7583,0.1793,129.9318,5348.4577
2031,13.61727157,0.949752163,475.7522846,8.536999984,49.62824645,987.1278401,247.090167,51.67880233,10.71943753,37.56389761,74.73542397,10.17227643,1.3151,0.293194748,0.50649,1.34891,0.707414934,216.31717,198.40591,77.85739,5.07429779,25.846339,8.67123,21.99688,0.92805,0.08382,0.241007612,0.922171126,17.92802,0,131.008084,51.7698,10.82562094,0.90757,0,0.7344,0.1729,129.1576,5332.34441
2032,13.78109178,0.940039518,480.1737758,8.615578492,49.64571439,988.8618523,247.509688,51.71583454,10.7513209,37.6450453,75.11386229,10.01714786,1.2728,0.283763676,0.48558,1.29322,0.692777408,220.27548,197.72462,79.60988,5.07536528,26.461326,8.67526,21.19736,0.8439,0.07674,0.222568525,0.892421402,17.06084,0,118.705938,49.547216,10.02278988,0.85374,0,0.7105,0.1665,128.3834,5316.23112
2033,13.94491198,0.930326872,484.5952669,8.694157,49.66318233,990.5958645,247.929209,51.75286675,10.78320427,37.72619299,75.4923006,9.86201929,1.2305,0.274332604,0.46467,1.23753,0.678139882,224.23379,197.04333,81.36237,5.07643277,27.076313,8.67929,20.39784,0.75975,0.06966,0.204129437,0.862671678,16.19366,0,106.403792,47.324632,9.21995882,0.79991,0,0.6866,0.1601,127.6092,5300.11783
2034,14.10873219,0.920614227,489.0167581,8.772735507,49.68065027,992.3298767,248.34873,51.78989896,10.81508764,37.80734069,75.87073892,9.70689072,1.1882,0.264901532,0.44376,1.18184,0.663502356,228.1921,196.36204,83.11486,5.07750026,27.6913,8.68332,19.59832,0.6756,0.06258,0.18569035,0.832921954,15.32648,0,94.101646,45.102048,8.41712776,0.74608,0,0.6627,0.1537,126.835,5284.00454
2035,14.27255239,0.910901581,493.4382492,8.851314015,49.69811821,994.0638889,248.7682509,51.82693117,10.84697101,37.88848838,76.24917723,9.55176215,1.1459,0.25547046,0.42285,1.12615,0.64886483,232.15041,195.68075,84.86735,5.07856775,28.306287,8.68735,18.7988,0.59145,0.0555,0.167251262,0.80317223,14.4593,0,81.7995,42.879464,7.6142967,0.69225,0,0.6388,0.1473,126.0608,5267.89125
2036,14.4363726,0.901188936,497.8597404,8.929892523,49.71558616,995.7979011,249.1877719,51.86396337,10.87885438,37.96963607,76.62761554,9.39663358,1.1036,0.246039388,0.40194,1.07046,0.634227304,236.10872,194.99946,86.61984,5.07963524,28.921274,8.69138,17.99928,0.5073,0.04842,0.148812174,0.773422506,13.59212,0,69.497354,40.65688,6.81146564,0.63842,0,0.6149,0.1409,125.2866,5251.77796
2037,14.6001928,0.89147629,502.2812315,9.008471031,49.7330541,997.5319133,249.6072929,51.90099558,10.91073775,38.05078377,77.00605386,9.24150501,1.0613,0.236608316,0.38103,1.01477,0.619589778,240.06703,194.31817,88.37233,5.08070273,29.536261,8.69541,17.19976,0.42315,0.04134,0.130373087,0.743672782,12.72494,0,57.195208,38.434296,6.00863458,0.58459,0,0.591,0.1345,124.5124,5235.66467
2038,14.76401301,0.881763645,506.7027227,9.087049538,49.75052204,999.2659255,250.0268139,51.93802779,10.94262112,38.13193146,77.38449217,9.08637644,1.019,0.227177244,0.36012,0.95908,0.604952252,244.02534,193.63688,90.12482,5.08177022,30.151248,8.69944,16.40024,0.339,0.03426,0.111933999,0.713923058,11.85776,0,44.893062,36.211712,5.20580352,0.53076,0,0.5671,0.1281,123.7382,5219.55138
